Route,Departing Port,Arriving Port,Airline,Month,Sectors Scheduled,Sectors Flown,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed,"OnTime Departures 
(%)","OnTime Arrivals 
(%)","Cancellations 

(%)"
Melbourne-Perth,Melbourne,Perth,Qantas,Jul-25,217,216,1,164,120,52,96,75.9,55.6,0.5
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,Qantas,Jul-25,31,31,0,20,23,11,8,64.5,74.2,0.0
Melbourne-Sydney,Melbourne,Sydney,Qantas,Jul-25,960,889,71,748,685,141,204,84.1,77.1,7.4
Newman-Perth,Newman,Perth,Qantas,Jul-25,10,10,0,8,8,2,2,80.0,80.0,0.0
Perth-Adelaide,Perth,Adelaide,Qantas,Jul-25,93,93,0,70,83,23,10,75.3,89.2,0.0
Perth-Brisbane,Perth,Brisbane,Qantas,Jul-25,164,162,2,119,137,43,25,73.5,84.6,1.2
Perth-Kalgoorlie,Perth,Kalgoorlie,Qantas,Jul-25,23,21,2,19,15,2,6,90.5,71.4,8.7
Perth-Melbourne,Perth,Melbourne,Qantas,Jul-25,218,214,4,150,165,64,49,70.1,77.1,1.8
Perth-Newman,Perth,Newman,Qantas,Jul-25,10,10,0,9,9,1,1,90.0,90.0,0.0
Perth-Sydney,Perth,Sydney,Qantas,Jul-25,205,201,4,134,154,67,47,66.7,76.6,2.0
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,Qantas,Jul-25,31,31,0,8,5,23,26,25.8,16.1,0.0
Sunshine Coast-Sydney,Sunshine Coast,Sydney,Qantas,Jul-25,58,58,0,47,48,11,10,81.0,82.8,0.0
Sydney-Adelaide,Sydney,Adelaide,Qantas,Jul-25,245,236,9,191,181,45,55,80.9,76.7,3.7
Sydney-Brisbane,Sydney,Brisbane,Qantas,Jul-25,544,532,12,422,394,110,138,79.3,74.1,2.2
Sydney-Cairns,Sydney,Cairns,Qantas,Jul-25,51,51,0,36,33,15,18,70.6,64.7,0.0
Sydney-Canberra,Sydney,Canberra,Qantas,Jul-25,50,44,6,36,38,8,6,81.8,86.4,12.0
Sydney-Gold Coast,Sydney,Gold Coast,Qantas,Jul-25,129,128,1,94,104,34,24,73.4,81.3,0.8
Sydney-Hamilton Island,Sydney,Hamilton Island,Qantas,Jul-25,31,31,0,25,25,6,6,80.6,80.6,0.0
Sydney-Melbourne,Sydney,Melbourne,Qantas,Jul-25,959,879,80,705,664,174,215,80.2,75.5,8.3
Sydney-Perth,Sydney,Perth,Qantas,Jul-25,205,201,4,136,108,65,93,67.7,53.7,2.0
Sydney-Sunshine Coast,Sydney,Sunshine Coast,Qantas,Jul-25,58,58,0,43,43,15,15,74.1,74.1,0.0
Townsville-Brisbane,Townsville,Brisbane,Qantas,Jul-25,38,38,0,28,29,10,9,73.7,76.3,0.0
Darwin-Perth,Darwin,Perth,Qantas,Jul-25,19,18,1,13,7,5,11,72.2,38.9,5.3
Perth-Darwin,Perth,Darwin,Qantas,Jul-25,19,19,0,16,12,3,7,84.2,63.2,0.0
Brisbane-Mount Isa,Brisbane,Mount Isa,Qantas,Jul-25,40,40,0,37,30,3,10,92.5,75.0,0.0
Mount Isa-Brisbane,Mount Isa,Brisbane,Qantas,Jul-25,40,39,1,21,26,18,13,53.8,66.7,2.5
All Ports-All Ports,All Ports,All Ports,Qantas,Jul-25,7761,7489,272,5819,5559,1670,1930,77.7,74.2,3.5
Adelaide-Melbourne,Adelaide,Melbourne,QantasLink,Jul-25,31,28,3,26,25,2,3,92.9,89.3,9.7
Melbourne-Adelaide,Melbourne,Adelaide,QantasLink,Jul-25,28,26,2,19,10,7,16,73.1,38.5,7.1
Adelaide-Alice Springs,Adelaide,Alice Springs,QantasLink,Jul-25,45,45,0,38,31,7,14,84.4,68.9,0.0
Adelaide-Brisbane,Adelaide,Brisbane,QantasLink,Jul-25,154,150,4,83,107,67,43,55.3,71.3,2.6
Adelaide-Canberra,Adelaide,Canberra,QantasLink,Jul-25,93,88,5,73,76,15,12,83.0,86.4,5.4
Adelaide-Port Lincoln,Adelaide,Port Lincoln,QantasLink,Jul-25,94,92,2,84,78,8,14,91.3,84.8,2.1
Albury-Sydney,Albury,Sydney,QantasLink,Jul-25,84,83,1,59,64,24,19,71.1,77.1,1.2
Alice Springs-Adelaide,Alice Springs,Adelaide,QantasLink,Jul-25,45,45,0,36,39,9,6,80.0,86.7,0.0
Ballina-Sydney,Ballina,Sydney,QantasLink,Jul-25,38,37,1,28,28,9,9,75.7,75.7,2.6
Brisbane-Adelaide,Brisbane,Adelaide,QantasLink,Jul-25,154,150,4,99,70,51,80,66.0,46.7,2.6
Brisbane-Cairns,Brisbane,Cairns,QantasLink,Jul-25,194,194,0,127,131,67,63,65.5,67.5,0.0
Brisbane-Canberra,Brisbane,Canberra,QantasLink,Jul-25,172,165,7,129,120,36,45,78.2,72.7,4.1
Brisbane-Emerald,Brisbane,Emerald,QantasLink,Jul-25,130,122,8,106,107,16,15,86.9,87.7,6.2
Brisbane-Gladstone,Brisbane,Gladstone,QantasLink,Jul-25,132,122,10,88,87,34,35,72.1,71.3,7.6
Brisbane-Hamilton Island,Brisbane,Hamilton Island,QantasLink,Jul-25,31,31,0,18,20,13,11,58.1,64.5,0.0
Brisbane-Hobart,Brisbane,Hobart,QantasLink,Jul-25,12,12,0,7,7,5,5,58.3,58.3,0.0
Brisbane-Mackay,Brisbane,Mackay,QantasLink,Jul-25,77,67,10,49,45,18,22,73.1,67.2,13.0
Brisbane-Melbourne,Brisbane,Melbourne,QantasLink,Jul-25,227,210,17,124,96,86,114,59.0,45.7,7.5
Brisbane-Mount Isa,Brisbane,Mount Isa,QantasLink,Jul-25,27,25,2,18,19,7,6,72.0,76.0,7.4
Brisbane-Newcastle,Brisbane,Newcastle,QantasLink,Jul-25,89,88,1,71,70,17,18,80.7,79.5,1.1
